"Year","State","Coal","Oil","Gas","Residential","Commercial","Industry","Transport","Electricity"
1981,"Louisiana",2.2,100.6,95.6,4.7,11.2,108.9,46.8,26.8
1981,"Maine",0.3,14.2,0.1,2.4,1.2,3.2,5.9,1.9
1981,"Maryland",19.5,33.9,9.3,7.1,2.7,13.9,23.2,15.8
1981,"Massachusetts",2.5,62.3,8.7,12.9,6.8,5.8,25.4,22.6
1981,"Michigan",70.7,56,43.1,23.9,11.3,37.2,42.2,55.2
1981,"Minnesota",22.9,29.9,14,7.9,4.3,11.2,22.3,21.1
1981,"Mississippi",7.7,24.2,13.2,2,2.7,9.8,17.7,12.9
1981,"Missouri",50.3,35.8,15.2,8.6,4.8,12.7,28.2,47
1981,"Montana",5.9,9.5,2.7,1.1,0.9,4.7,5.9,5.5
1981,"Nebraska",9.3,12,7,2.7,2.3,5.3,9.2,8.8
1981,"Nevada",10.5,9.1,4.1,0.9,0.7,1.2,8.2,12.7
1981,"New Hampshire",2.3,8.8,0.5,1.9,0.7,0.7,4,4.3
1981,"New Jersey",7,80.7,20.8,18,10.8,18.9,44.3,16.5
1981,"New Mexico",18.5,14.6,10.9,1.6,1.7,6.3,13.1,21.3
1981,"New York",28.8,137.7,40.9,34.4,22.7,29.9,67.2,53.2
1981,"North Carolina",61.5,42.5,8.1,5.6,2.9,14.4,31.8,57.4
1981,"North Dakota",16.2,8.6,1.9,1.1,1,4.1,5.1,15.4
1981,"Ohio",143.2,80.3,43.4,22.6,11,75.4,54.1,103.8
1981,"Oklahoma",14.7,28.5,36.9,4.3,2.6,20.9,23,29.3
1981,"Oregon",2.5,23,4.2,2.2,1.9,5.8,17.9,1.9
1981,"Pennsylvania",139.2,90.1,42,27.5,13.7,77.3,54.6,98.2
1981,"Rhode Island",0,6.2,1.6,1.9,0.7,0.9,3.6,0.7
1981,"South Carolina",24.9,22.9,7.8,2.1,1.8,12.9,17.5,21.3
1981,"South Dakota",3.4,6.2,1.1,1,0.7,1.8,4.2,3
1981,"Tennessee",53.2,33.3,12,3.1,3.4,18.5,28.7,44.8
1981,"Texas",80.4,195.7,205.1,12.9,14.9,175.4,130.1,147.9
1981,"Utah",16.4,11.4,5.8,3.3,0.5,10.2,8.7,10.9
1981,"Vermont",0,4.2,0.2,1.1,0.4,0.5,2.4,0
1981,"Virginia",24.7,45.6,8.2,5.9,3.2,16.2,34.5,18.7
1981,"Washington",8.4,41.6,6.9,3.1,2.7,14.4,29.2,7.5
1981,"West Virginia",82,14,8.1,3.3,2,20.1,9.9,68.8
1981,"Wisconsin",30.7,30.2,17.3,9.9,4.3,15.1,22.6,26.3
1981,"Wyoming",29.9,11,4,0.7,0.7,10.2,6.3,27
1982,"Alabama",47.7,29.5,13.4,3.3,2.2,26.2,23.6,35.3
1982,"Alaska",1.2,10.5,12.7,1.2,2.3,11,7.3,2.6
1982,"Arizona",31.6,19.1,7.5,1.8,1.8,5.8,18.2,30.6
1982,"Arkansas",11.8,18.9,12.1,2.8,1.9,10.4,14.7,13
1982,"California",6.4,199.9,93.5,30.8,18.7,52.3,160.2,37.8
1982,"Colorado",25.9,20.6,11.5,4.9,3.9,7.2,18.3,23.7
1982,"Connecticut",0.1,31.6,4.2,7.2,3.1,3.8,13.2,8.6
1982,"Delaware",4.5,8.6,1.6,1,1,2.8,3.5,6.4
1982,"District of Columbia",0.2,3.3,1.6,0.9,1.4,0.1,2.6,0.1
1982,"Florida",22.5,101.3,17.9,1.7,3.2,11.5,66.9,58.4
1982,"Georgia",50.3,43.9,16.1,5.4,3.9,14.3,38.6,48.1
1982,"Hawaii",0.1,14.9,0,0,0.2,2.3,7.3,5.2
1982,"Idaho",0.9,6.6,2.3,0.6,0.7,3.2,5.3,0
1982,"Illinois",73,78,53,26.7,14.6,42.7,53.8,66.2
1982,"Indiana",93.9,42,25,11.4,5.6,50.5,30.6,62.8
1982,"Iowa",22.9,21.8,12.7,6.6,3.6,11.6,15.8,19.8
1982,"Kansas",19.9,22,21.4,4.9,3.2,15.2,17.4,22.6
1982,"Kentucky",58.9,28.1,10.1,4.7,3.1,14.4,22.3,52.6
1982,"Louisiana",6,92.6,84.5,4,10.6,100.6,41.1,26.8
1982,"Maine",0.6,17,0.1,2.3,1.2,6.5,6.1,1.6
1982,"Maryland",20.2,32.3,8.4,6.7,3,12,22.4,16.8
